rank,nome,avaliacao
200,Cyclades,7.52
301,Survive: Escape from Atlantis!,7.31
302,Merchants & Marauders,7.40
303,Camel Up (Second Edition),7.64
304,Neuroshima Hex! 3.0,7.40
305,Mission: Red Planet (Second Edition),7.44
306,Bärenpark,7.35
307,Hallertau,8.06
308,Dixit,7.24
309,The Resistance,7.26
310,Ghost Stories,7.30
311,Takenoko,7.25
312,Star Wars: Armada,7.83
313,Agricola: All Creatures Big and Small,7.36
314,Bunny Kingdom,7.46
315,Altiplano,7.51
316,Harry Potter: Hogwarts Battle,7.43
317,Awkward Guests,7.69
318,Monikers,7.80
319,Evolution: Climate,7.58
320,For Sale,7.23
321,Star Realms: Frontiers,7.98
322,51st State: Master Set,7.64
323,Here I Stand,7.91
324,Ankh: Gods of Egypt,7.95
325,San Juan,7.25
326,Notre Dame,7.33
327,Die Macher,7.61
328,Tekhenu: Obelisk of the Sun,7.85
329,Lost Cities,7.20
330,At the Gates of Loyang,7.38
331,The Pillars of the Earth,7.28
332,Nusfjord,7.65
333,Gùgōng,7.50
334,Gizmos,7.43
335,Blood Bowl: Team Manager – The Card Game,7.38
336,Endeavor,7.39
337,Saint Petersburg,7.29
338,In the Year of the Dragon,7.33
339,Bruxelles 1893,7.64
340,Mythic Battles: Pantheon,8.42
341,Tiny Towns,7.31
342,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,7.70
343,Ticket to Ride: Märklin,7.41
344,Carpe Diem,7.56
345,Sword & Sorcery,7.98
346,Azul: Stained Glass of Sintra,7.38
347,Innovation,7.26
348,Clash of Cultures,7.61
349,Dice Throne: Season Two – Battle Chest,8.14
350,King of Tokyo,7.17
351,Newton,7.60
352,Nippon,7.68
353,Pandemic: Fall of Rome,7.69
354,The Godfather: Corleone's Empire,7.55
355,Abyss,7.33
356,Bonfire,7.82
357,Claustrophobia,7.50
358,London (Second Edition),7.57
359,Civilization,7.50
360,San Juan (Second Edition),7.49
361,Dune,7.61
362,Space Hulk (Third Edition),7.53
363,Aeon's End: The New Age,8.65
364,Advanced Squad Leader,8.00
365,Codenames: Pictures,7.23
366,Ginkgopolis,7.50
367,Maria,7.98
368,The Great Zimbabwe,7.81
369,Dice Forge,7.27
370,Stockpile,7.52
371,Downforce,7.34
372,Twice as Clever!,7.49
373,Mice and Mystics,7.28
374,Arkham Horror,7.25
375,Chinatown,7.36
376,Fresco,7.27
377,The Manhattan Project,7.34
378,Macao,7.42
379,Santa Maria,7.52
380,Millennium Blades,7.72
381,Firefly: The Game,7.39
382,Thunderstone Quest,7.85
383,Charterstone,7.31
384,Flash Point: Fire Rescue,7.19
385,The King's Dilemma,7.91
386,Spartacus: A Game of Blood and Treachery,7.48
387,A Few Acres of Snow,7.39
388,Point Salad,7.27
389,Marvel United,7.67
390,Blood Bowl: Living Rulebook,7.85
391,Biblios,7.20
392,Destinies,8.00
393,Kingsburg,7.19
394,Lancaster,7.40
395,Imperial Settlers: Empires of the North,7.55
396,Quadropolis,7.26
397,Glen More,7.31
398,Sprawlopolis,7.43
399,Heroscape Master Set: Rise of the Valkyrie,7.43
400,Skull,7.20
401,Schotten Totten,7.33
402,Pandemic: Reign of Cthulhu,7.40
403,Lord of the Rings: The Confrontation,7.48
404,Risk Legacy,7.41
405,Wavelength,7.42
406,Amerigo,7.46
407,Pandemic: The Cure,7.28
408,BattleLore,7.36
409,Commands & Colors: Napoleonics,8.01
410,Amun-Re,7.31
411,PitchCar,7.27
412,Sheriff of Nottingham,7.12
413,Mystic Vale,7.29
414,1775: Rebellion,7.67
415,Descent: Journeys in the Dark,7.29
416,Blood Bowl (Third Edition),7.55
417,Mansions of Madness,7.28
418,Smartphone Inc.,7.69
419,Forbidden Desert,7.12
420,Shadows of Brimstone: City of the Ancients,7.96
421,Pipeline,7.68
422,Exit: The Game – Dead Man on the Orient Express,7.66
423,Raptor,7.30
424,Anno 1800,7.86
425,Hadrian's Wall,8.15
426,Colt Express,7.11
427,"Labyrinth: The War on Terror, 2001 – ?",7.59
428,Stuffed Fables,7.52
429,Deus,7.30
430,Hanabi,7.07
431,Black Orchestra,7.52
432,Citadels,7.08
433,Chess,7.16
434,Madeira,7.59
435,BattleCON: Devastation of Indines,7.89
436,Oath: Chronicles of Empire and Exile,7.97
437,Shadows over Camelot,7.11
438,Catan,7.13
439,Fire in the Lake,8.07
440,Friday,7.13
441,Mandala,7.64
442,London,7.35
443,Lords of Vegas,7.34
444,Freedom: The Underground Railroad,7.58
445,Citadels,7.30
446,Legends of Andor,7.18
447,Betrayal Legacy,7.74
448,Archipelago,7.33
449,First Class: All Aboard the Orient Express!,7.45
450,Junk Art,7.40
451,Meadow,7.86
452,Imhotep,7.17
453,Sidereal Confluence,7.81
454,Euphoria: Build a Better Dystopia,7.24
455,Small World Underground,7.25
456,The Fox in the Forest,7.19
457,Argent: The Consortium,7.69
458,The Grizzled,7.17
459,Time's Up! Title Recall!,7.70
460,Oceans,7.60
461,Skull King,7.45
462,Sentinels of the Multiverse,7.19
463,Roads & Boats,7.73
464,Libertalia,7.15
465,Thurn and Taxis,7.10
466,Potion Explosion,7.15
467,Railroad Ink: Deep Blue Edition,7.24
468,Escape Plan,7.58
469,One Night Ultimate Werewolf,7.11
470,Hadara,7.47
471,Egizia,7.41
472,The King Is Dead: Second Edition,7.82
473,Ingenious,7.12
474,No Thanks!,7.06
475,TZAAR,7.66
476,1846: The Race for the Midwest,7.96
477,Bohnanza,7.04
478,Airlines Europe,7.30
479,Elysium,7.22
480,Blackout: Hong Kong,7.47
481,Queendomino,7.23
482,Cloudspire,8.26
483,Port Royal,7.13
484,RoboRally,7.08
485,Runebound (Third Edition),7.49
486,Sushi Go!,7.04
487,Vinhos,7.48
488,Tales of the Arabian Nights,7.19
489,Vikings,7.24
490,Chicago Express,7.24
491,Last Will,7.18
492,The Colonists,7.61
493,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,7.19
494,Pax Porfiriana,7.68
495,Taj Mahal,7.27
496,Photosynthesis,7.09
497,Raiders of Scythia,7.91
498,Alhambra,7.03
499,Karuba,7.19
500,Baseball Highlights: 2045,7.54
501,StarCraft: The Board Game,7.34
502,Discworld: Ankh-Morpork,7.24
503,Colosseum,7.21
504,Paperback,7.17
505,Love Letter Premium,7.46
506,Nexus Ops,7.21
507,Space Empires 4X,7.71
508,Hammer of the Scots,7.55
509,Zombie Kidz Evolution,7.78
510,Camel Up,7.04
511,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,7.79
512,DVONN,7.45
513,Star Wars: X-Wing (Second Edition),8.21
514,AquaSphere,7.27
515,Automobile,7.33
516,Evolution,7.11
517,Francis Drake,7.40
518,Carson City,7.24
519,Conan,7.68
520,Blood Bowl (2016 Edition),8.03
521,Love Letter,7.60
522,A Game of Thrones,7.20
523,Struggle of Empires,7.52
524,KeyForge: Call of the Archons,7.21
525,Middara: Unintentional Malum – Act 1,8.82
526,Dawn of the Zeds (Third Edition),8.19
527,Broom Service,7.18
528,Through the Desert,7.08
529,Jamaica,7.06
530,Tobago,7.11
531,A Game of Thrones: The Card Game (Second Edition),7.54
532,7 Wonders (Second Edition),8.07
533,Carcassonne: Hunters and Gatherers,7.12
534,Star Wars: Destiny,7.49
535,Kemet: Blood and Sand,8.20
536,Valeria: Card Kingdoms,7.46
537,Gears of War: The Board Game,7.46
538,Las Vegas,7.14
539,Cubitos,7.61
540,Zombicide,7.14
541,Quantum,7.27
542,Mare Nostrum: Empires,7.56
543,Blitzkrieg!: World War Two in 20 Minutes,7.67
544,Silver & Gold,7.30
545,Unmatched: Robin Hood vs. Bigfoot,8.11
546,Coup,7.00
547,Nova Luna,7.41
548,Thebes,7.13
549,High Society,7.10
550,Dice Throne: Season One,7.59
551,Snowdonia,7.36
552,The Republic of Rome,7.54
553,In the Hall of the Mountain King,7.75
554,"Air, Land & Sea",7.53
555,Earth Reborn,7.64
556,Great Western Trail (Second Edition),8.64
557,Canvas,7.50
558,Triumph & Tragedy: European Balance of Power 1936-1945,8.16
559,Magic Maze,7.01
560,One Night Ultimate Werewolf: Daybreak,7.35
561,Trains,7.15
562,Formula D,7.02
563,The Battle of Five Armies,7.88
564,Time's Up!,7.29
565,Taluva,7.16
566,Betrayal at House on the Hill,7.05
567,Summoner Wars,7.25
568,Star Trek: Ascendancy,7.81
569,Pax Renaissance,8.02
570,Cooper Island,7.67
571,Furnace,7.51
572,Draftosaurus,7.15
573,Shakespeare,7.43
574,Belfort,7.23
575,Cuba Libre,7.69
576,Shadows of Brimstone: Swamps of Death,8.04
